"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 24 08:32:56 GMT 2025","Tue Jun 24 08:32:57 GMT 2025","780","","","","","","Поиск трат по типу валюты",""
"passed","Tue Jun 24 08:32:41 GMT 2025","Tue Jun 24 08:32:43 GMT 2025","1784","","","","","","Создание траты с суммой меньше граничного значения для типа валюты",""
"passed","Tue Jun 24 08:33:07 GMT 2025","Tue Jun 24 08:33:08 GMT 2025","1187","","","","","","Отображение не архивной категории пользователя при добавлении траты",""
"passed","Tue Jun 24 08:32:40 GMT 2025","Tue Jun 24 08:32:41 GMT 2025","1767","","","","","","Создание траты с суммой меньше граничного значения для типа валюты",""
"passed","Tue Jun 24 08:32:48 GMT 2025","Tue Jun 24 08:32:48 GMT 2025","37","","","","","","Обновление траты через API, проверка корректности данных в БД",""
"passed","Tue Jun 24 08:33:16 GMT 2025","Tue Jun 24 08:33:16 GMT 2025","28","","","","","","Граничные значения для по количеству символов в имени категории, positive",""
"passed","Tue Jun 24 08:33:16 GMT 2025","Tue Jun 24 08:33:16 GMT 2025","14","","","","","","Граничные значения для значения суммы",""
"passed","Tue Jun 24 08:33:20 GMT 2025","Tue Jun 24 08:33:20 GMT 2025","18","","","","","","Обязательность наличия типа валюты",""
"passed","Tue Jun 24 08:33:23 GMT 2025","Tue Jun 24 08:33:23 GMT 2025","16","","","","","","Граничные значения для по количеству символов в имени категории, positive",""
"passed","Tue Jun 24 08:33:16 GMT 2025","Tue Jun 24 08:33:17 GMT 2025","335","","","","","","Принятие запроса на дружбу",""
"passed","Tue Jun 24 08:33:19 GMT 2025","Tue Jun 24 08:33:19 GMT 2025","646","","","","","","Граничные значения у поля ""Пароль"" на странице регистрации",""
"passed","Tue Jun 24 08:33:17 GMT 2025","Tue Jun 24 08:33:17 GMT 2025","16","","","","","","Граничные значения для значения суммы",""
"passed","Tue Jun 24 08:33:23 GMT 2025","Tue Jun 24 08:33:23 GMT 2025","11","","","","","","Граничные значения для значения суммы",""
"passed","Tue Jun 24 08:32:57 GMT 2025","Tue Jun 24 08:32:58 GMT 2025","779","","","","","","Поиск трат по типу валюты",""
"passed","Tue Jun 24 08:33:17 GMT 2025","Tue Jun 24 08:33:17 GMT 2025","50","","","","","","Создание новой траты",""
"passed","Tue Jun 24 08:33:23 GMT 2025","Tue Jun 24 08:33:23 GMT 2025","10","","","","","","Граничные значения по количеству символов в имени категории, negative",""
"passed","Tue Jun 24 08:33:19 GMT 2025","Tue Jun 24 08:33:20 GMT 2025","507","","","","","","Граничные значения у поля ""Пароль"" на странице регистрации",""
"passed","Tue Jun 24 08:33:18 GMT 2025","Tue Jun 24 08:33:19 GMT 2025","568","","","","","","Наличие свойства required у полей имя пользователя и пароль",""
"passed","Tue Jun 24 08:33:21 GMT 2025","Tue Jun 24 08:33:21 GMT 2025","14","","","","","","Обязательность наличия категории в трате",""
"passed","Tue Jun 24 08:33:16 GMT 2025","Tue Jun 24 08:33:16 GMT 2025","146","","","","","","Обновление полного имени и типа валюты у пользователя",""
"passed","Tue Jun 24 08:33:08 GMT 2025","Tue Jun 24 08:33:08 GMT 2025","3","","","","","","Добавление категории через API, проверка корректности данных в БД",""
"passed","Tue Jun 24 08:32:53 GMT 2025","Tue Jun 24 08:32:54 GMT 2025","883","","","","","","Поиск трат по дате",""
"passed","Tue Jun 24 08:33:08 GMT 2025","Tue Jun 24 08:33:08 GMT 2025","16","","","","","","Обновление категории через API, проверка корректности данных в БД",""
"passed","Tue Jun 24 08:32:55 GMT 2025","Tue Jun 24 08:32:56 GMT 2025","787","","","","","","Поиск трат по типу валюты",""
"passed","Tue Jun 24 08:32:54 GMT 2025","Tue Jun 24 08:32:55 GMT 2025","793","","","","","","Поиск трат по типу валюты",""
"passed","Tue Jun 24 08:33:17 GMT 2025","Tue Jun 24 08:33:17 GMT 2025","330","","","","","","Отклонение запроса на дружбу",""
"passed","Tue Jun 24 08:32:59 GMT 2025","Tue Jun 24 08:33:00 GMT 2025","762","","","","","","Максимальное количество не архивных категорий для пользователя",""
"passed","Tue Jun 24 08:33:16 GMT 2025","Tue Jun 24 08:33:16 GMT 2025","234","","","","","","Отправка запроса на дружбу",""
"passed","Tue Jun 24 08:32:58 GMT 2025","Tue Jun 24 08:32:59 GMT 2025","768","","","","","","Максимальное количество не архивных категорий для пользователя",""
"passed","Tue Jun 24 08:33:16 GMT 2025","Tue Jun 24 08:33:16 GMT 2025","13","","","","","","Получение информации о существующем пользователе по его username",""
"passed","Tue Jun 24 08:33:20 GMT 2025","Tue Jun 24 08:33:21 GMT 2025","773","","","","","","Авторизация под не существующим пользователем",""
"passed","Tue Jun 24 08:32:49 GMT 2025","Tue Jun 24 08:32:50 GMT 2025","968","","","","","","Поиск трат по имени категории",""
"passed","Tue Jun 24 08:32:50 GMT 2025","Tue Jun 24 08:32:51 GMT 2025","954","","","","","","Поиск трат по имени категории",""
"passed","Tue Jun 24 08:33:21 GMT 2025","Tue Jun 24 08:33:21 GMT 2025","258","","","","","","Наличие свойства required у полей имя пользователя и пароль",""
"passed","Tue Jun 24 08:33:22 GMT 2025","Tue Jun 24 08:33:22 GMT 2025","34","","","","","","Нет возможности добавить дубль существующей архивной категории",""
"passed","Tue Jun 24 08:33:19 GMT 2025","Tue Jun 24 08:33:20 GMT 2025","670","","","","","","Регистрация пользователя с валидными данными",""
"passed","Tue Jun 24 08:33:08 GMT 2025","Tue Jun 24 08:33:09 GMT 2025","848","","","","","","Сервис niffler-userdata должен забирать сообщение из топика Kafka",""
"passed","Tue Jun 24 08:33:17 GMT 2025","Tue Jun 24 08:33:18 GMT 2025","441","","","","","","Получение списка друзей",""
"passed","Tue Jun 24 08:32:54 GMT 2025","Tue Jun 24 08:32:54 GMT 2025","936","","","","","","Поиск трат по дате",""
"passed","Tue Jun 24 08:32:37 GMT 2025","Tue Jun 24 08:32:38 GMT 2025","822","","","","","","Подсказки об обязательности полей суммы и категории при добавлении траты",""
"passed","Tue Jun 24 08:32:52 GMT 2025","Tue Jun 24 08:32:53 GMT 2025","858","","","","","","Поиск трат по имени категории",""
"passed","Tue Jun 24 08:33:21 GMT 2025","Tue Jun 24 08:33:21 GMT 2025","41","","","","","","Нет возможности добавить дубль существующей категории",""
"passed","Tue Jun 24 08:33:01 GMT 2025","Tue Jun 24 08:33:03 GMT 2025","2418","","","","","","Запрет на дубликаты категорий при существования архивной",""
"passed","Tue Jun 24 08:32:38 GMT 2025","Tue Jun 24 08:32:39 GMT 2025","841","","","","","","Создание траты без обязательного поля категории",""
"passed","Tue Jun 24 08:32:35 GMT 2025","Tue Jun 24 08:32:37 GMT 2025","1700","","","","","","Добавление новой траты через GUI Niffler",""
"passed","Tue Jun 24 08:33:00 GMT 2025","Tue Jun 24 08:33:01 GMT 2025","1193","","","","","","Запрет на дубликаты категорий",""
"passed","Tue Jun 24 08:33:20 GMT 2025","Tue Jun 24 08:33:21 GMT 2025","540","","","","","","Граничные значения у поля ""Имя пользователя"" на странице регистрации",""
"passed","Tue Jun 24 08:32:48 GMT 2025","Tue Jun 24 08:32:48 GMT 2025","68","","","","","","Добавление траты через API, проверка корректности данных в БД",""
"passed","Tue Jun 24 08:33:18 GMT 2025","Tue Jun 24 08:33:18 GMT 2025","292","","","","","","Удаление друга",""
"passed","Tue Jun 24 08:33:19 GMT 2025","Tue Jun 24 08:33:19 GMT 2025","23","","","","","","Обязательность наличия суммы траты",""
"passed","Tue Jun 24 08:33:18 GMT 2025","Tue Jun 24 08:33:18 GMT 2025","70","","","","","","Добавление новой категории через API",""
"passed","Tue Jun 24 08:33:16 GMT 2025","Tue Jun 24 08:33:16 GMT 2025","9","","","","","","Запрос информации о незарегистрированном пользователе в системе по username",""
"passed","Tue Jun 24 08:32:39 GMT 2025","Tue Jun 24 08:32:40 GMT 2025","847","","","","","","Создание траты без обязательного поля суммы",""
"passed","Tue Jun 24 08:32:46 GMT 2025","Tue Jun 24 08:32:48 GMT 2025","1918","","","","","","Удаление траты через GUI Niffler",""
"passed","Tue Jun 24 08:32:51 GMT 2025","Tue Jun 24 08:32:52 GMT 2025","914","","","","","","Поиск трат по имени категории",""
"passed","Tue Jun 24 08:33:20 GMT 2025","Tue Jun 24 08:33:20 GMT 2025","39","","","","","","Обновление существующей категории через API",""
"passed","Tue Jun 24 08:33:18 GMT 2025","Tue Jun 24 08:33:18 GMT 2025","20","","","","","","Получение существующей траты по id",""
"passed","Tue Jun 24 08:33:08 GMT 2025","Tue Jun 24 08:33:08 GMT 2025","172","","","","","","Убедиться в наличии сообщения в Kafka после успешной регистрации нового пользователя",""
"passed","Tue Jun 24 08:32:44 GMT 2025","Tue Jun 24 08:32:46 GMT 2025","1763","","","","","","Создание траты с суммой меньше граничного значения для типа валюты",""
"passed","Tue Jun 24 08:33:22 GMT 2025","Tue Jun 24 08:33:22 GMT 2025","1","","","","","","Возможность добавления траты без описания",""
"passed","Tue Jun 24 08:33:22 GMT 2025","Tue Jun 24 08:33:22 GMT 2025","10","","","","","","Граничные значения для значения суммы",""
"passed","Tue Jun 24 08:33:03 GMT 2025","Tue Jun 24 08:33:06 GMT 2025","3054","","","","","","Архивные категории не отображаются при добавлении траты",""
"passed","Tue Jun 24 08:33:23 GMT 2025","Tue Jun 24 08:33:23 GMT 2025","12","","","","","","Граничные значения по количеству символов в имени категории, negative",""
"passed","Tue Jun 24 08:32:43 GMT 2025","Tue Jun 24 08:32:44 GMT 2025","1276","","","","","","Создание траты с суммой меньше граничного значения для типа валюты",""
"passed","Tue Jun 24 08:33:15 GMT 2025","Tue Jun 24 08:33:16 GMT 2025","517","","","","","","Граничные значения у поля ""Имя пользователя"" на странице регистрации",""
"passed","Tue Jun 24 08:33:17 GMT 2025","Tue Jun 24 08:33:19 GMT 2025","1525","","","","","","Авторизация под существующим пользователем",""
