"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Jun 23 04:42:39 GMT 2025","Mon Jun 23 04:42:39 GMT 2025","0","","","","","","Регистрация пользователя с валидными данными",""
"passed","Mon Jun 23 04:42:23 GMT 2025","Mon Jun 23 04:42:24 GMT 2025","912","","","","","","Поиск трат по имени категории",""
"passed","Mon Jun 23 04:42:48 GMT 2025","Mon Jun 23 04:42:48 GMT 2025","24","","","","","","Обязательность наличия суммы траты",""
"passed","Mon Jun 23 04:42:11 GMT 2025","Mon Jun 23 04:42:12 GMT 2025","844","","","","","","Создание траты без обязательного поля суммы",""
"passed","Mon Jun 23 04:42:48 GMT 2025","Mon Jun 23 04:42:48 GMT 2025","92","","","","","","Нет возможности добавить дубль существующей архивной категории",""
"passed","Mon Jun 23 04:42:25 GMT 2025","Mon Jun 23 04:42:26 GMT 2025","931","","","","","","Поиск трат по дате",""
"passed","Mon Jun 23 04:42:48 GMT 2025","Mon Jun 23 04:42:48 GMT 2025","21","","","","","","Обязательность наличия категории в трате",""
"passed","Mon Jun 23 04:42:47 GMT 2025","Mon Jun 23 04:42:47 GMT 2025","16","","","","","","Граничные значения для значения суммы",""
"broken","Mon Jun 23 04:42:40 GMT 2025","Mon Jun 23 04:42:40 GMT 2025","0","","","","","","Граничные значения у поля ""Пароль"" на странице регистрации",""
"passed","Mon Jun 23 04:42:31 GMT 2025","Mon Jun 23 04:42:33 GMT 2025","1206","","","","","","Запрет на дубликаты категорий",""
"passed","Mon Jun 23 04:42:48 GMT 2025","Mon Jun 23 04:42:48 GMT 2025","43","","","","","","Обязательность наличия типа валюты",""
"broken","Mon Jun 23 04:42:39 GMT 2025","Mon Jun 23 04:42:39 GMT 2025","0","","","","","","Авторизация под существующим пользователем",""
"passed","Mon Jun 23 04:42:40 GMT 2025","Mon Jun 23 04:42:40 GMT 2025","167","","","","","","Убедиться в наличии сообщения в Kafka после успешной регистрации нового пользователя",""
"passed","Mon Jun 23 04:42:38 GMT 2025","Mon Jun 23 04:42:38 GMT 2025","2","","","","","","Добавление категории через API, проверка корректности данных в БД",""
"passed","Mon Jun 23 04:42:47 GMT 2025","Mon Jun 23 04:42:47 GMT 2025","82","","","","","","Обновление существующей категории через API",""
"broken","Mon Jun 23 04:42:48 GMT 2025","Mon Jun 23 04:42:48 GMT 2025","331","","","","","","Отклонение запроса на дружбу",""
"broken","Mon Jun 23 04:42:40 GMT 2025","Mon Jun 23 04:42:40 GMT 2025","0","","","","","","Граничные значения у поля ""Имя пользователя"" на странице регистрации",""
"passed","Mon Jun 23 04:42:35 GMT 2025","Mon Jun 23 04:42:38 GMT 2025","2576","","","","","","Архивные категории не отображаются при добавлении траты",""
"passed","Mon Jun 23 04:42:20 GMT 2025","Mon Jun 23 04:42:20 GMT 2025","19","","","","","","Добавление траты через API, проверка корректности данных в БД",""
"broken","Mon Jun 23 04:42:40 GMT 2025","Mon Jun 23 04:42:40 GMT 2025","0","","","","","","Граничные значения у поля ""Пароль"" на странице регистрации",""
"passed","Mon Jun 23 04:42:48 GMT 2025","Mon Jun 23 04:42:48 GMT 2025","23","","","","","","Получение существующей траты по id",""
"passed","Mon Jun 23 04:42:48 GMT 2025","Mon Jun 23 04:42:48 GMT 2025","519","","","","","","Получение списка друзей",""
"passed","Mon Jun 23 04:42:15 GMT 2025","Mon Jun 23 04:42:16 GMT 2025","1772","","","","","","Создание траты с суммой меньше граничного значения для типа валюты",""
"passed","Mon Jun 23 04:42:30 GMT 2025","Mon Jun 23 04:42:30 GMT 2025","757","","","","","","Максимальное количество не архивных категорий для пользователя",""
"passed","Mon Jun 23 04:42:24 GMT 2025","Mon Jun 23 04:42:24 GMT 2025","856","","","","","","Поиск трат по имени категории",""
"passed","Mon Jun 23 04:42:20 GMT 2025","Mon Jun 23 04:42:20 GMT 2025","44","","","","","","Обновление траты через API, проверка корректности данных в БД",""
"passed","Mon Jun 23 04:42:47 GMT 2025","Mon Jun 23 04:42:47 GMT 2025","336","","","","","","Отправка запроса на дружбу",""
"passed","Mon Jun 23 04:42:16 GMT 2025","Mon Jun 23 04:42:18 GMT 2025","1853","","","","","","Создание траты с суммой меньше граничного значения для типа валюты",""
"passed","Mon Jun 23 04:42:33 GMT 2025","Mon Jun 23 04:42:35 GMT 2025","2439","","","","","","Запрет на дубликаты категорий при существования архивной",""
"passed","Mon Jun 23 04:42:09 GMT 2025","Mon Jun 23 04:42:10 GMT 2025","790","","","","","","Подсказки об обязательности полей суммы и категории при добавлении траты",""
"passed","Mon Jun 23 04:42:29 GMT 2025","Mon Jun 23 04:42:29 GMT 2025","769","","","","","","Поиск трат по типу валюты",""
"passed","Mon Jun 23 04:42:47 GMT 2025","Mon Jun 23 04:42:48 GMT 2025","460","","","","","","Принятие запроса на дружбу",""
"passed","Mon Jun 23 04:42:21 GMT 2025","Mon Jun 23 04:42:22 GMT 2025","956","","","","","","Поиск трат по имени категории",""
"passed","Mon Jun 23 04:42:13 GMT 2025","Mon Jun 23 04:42:15 GMT 2025","1266","","","","","","Создание траты с суммой меньше граничного значения для типа валюты",""
"passed","Mon Jun 23 04:42:48 GMT 2025","Mon Jun 23 04:42:48 GMT 2025","0","","","","","","Возможность добавления траты без описания",""
"broken","Mon Jun 23 04:42:40 GMT 2025","Mon Jun 23 04:42:40 GMT 2025","0","","","","","","Граничные значения у поля ""Имя пользователя"" на странице регистрации",""
"broken","Mon Jun 23 04:42:40 GMT 2025","Mon Jun 23 04:42:40 GMT 2025","0","","","","","","Наличие свойства required у полей имя пользователя и пароль",""
"passed","Mon Jun 23 04:42:12 GMT 2025","Mon Jun 23 04:42:13 GMT 2025","1748","","","","","","Создание траты с суммой меньше граничного значения для типа валюты",""
"passed","Mon Jun 23 04:42:48 GMT 2025","Mon Jun 23 04:42:48 GMT 2025","54","","","","","","Граничные значения для по количеству символов в имени категории, positive",""
"passed","Mon Jun 23 04:42:47 GMT 2025","Mon Jun 23 04:42:48 GMT 2025","51","","","","","","Граничные значения для по количеству символов в имени категории, positive",""
"passed","Mon Jun 23 04:42:47 GMT 2025","Mon Jun 23 04:42:47 GMT 2025","27","","","","","","Граничные значения для значения суммы",""
"passed","Mon Jun 23 04:42:48 GMT 2025","Mon Jun 23 04:42:48 GMT 2025","32","","","","","","Граничные значения по количеству символов в имени категории, negative",""
"passed","Mon Jun 23 04:42:48 GMT 2025","Mon Jun 23 04:42:48 GMT 2025","54","","","","","","Нет возможности добавить дубль существующей категории",""
"passed","Mon Jun 23 04:42:07 GMT 2025","Mon Jun 23 04:42:09 GMT 2025","1558","","","","","","Добавление новой траты через GUI Niffler",""
"passed","Mon Jun 23 04:42:48 GMT 2025","Mon Jun 23 04:42:49 GMT 2025","274","","","","","","Удаление друга",""
"passed","Mon Jun 23 04:42:31 GMT 2025","Mon Jun 23 04:42:31 GMT 2025","737","","","","","","Максимальное количество не архивных категорий для пользователя",""
"passed","Mon Jun 23 04:42:47 GMT 2025","Mon Jun 23 04:42:47 GMT 2025","64","","","","","","Добавление новой категории через API",""
"passed","Mon Jun 23 04:42:38 GMT 2025","Mon Jun 23 04:42:38 GMT 2025","740","","","","","","Отображение не архивной категории пользователя при добавлении траты",""
"broken","Mon Jun 23 04:42:39 GMT 2025","Mon Jun 23 04:42:39 GMT 2025","0","","","","","","Авторизация под не существующим пользователем",""
"passed","Mon Jun 23 04:42:18 GMT 2025","Mon Jun 23 04:42:20 GMT 2025","1895","","","","","","Удаление траты через GUI Niffler",""
"passed","Mon Jun 23 04:42:47 GMT 2025","Mon Jun 23 04:42:47 GMT 2025","23","","","","","","Создание новой траты",""
"passed","Mon Jun 23 04:42:10 GMT 2025","Mon Jun 23 04:42:11 GMT 2025","937","","","","","","Создание траты без обязательного поля категории",""
"passed","Mon Jun 23 04:42:24 GMT 2025","Mon Jun 23 04:42:25 GMT 2025","881","","","","","","Поиск трат по дате",""
"passed","Mon Jun 23 04:42:47 GMT 2025","Mon Jun 23 04:42:47 GMT 2025","13","","","","","","Граничные значения для значения суммы",""
"passed","Mon Jun 23 04:42:48 GMT 2025","Mon Jun 23 04:42:48 GMT 2025","28","","","","","","Граничные значения по количеству символов в имени категории, negative",""
"passed","Mon Jun 23 04:42:46 GMT 2025","Mon Jun 23 04:42:47 GMT 2025","29","","","","","","Запрос информации о незарегистрированном пользователе в системе по username",""
"passed","Mon Jun 23 04:42:39 GMT 2025","Mon Jun 23 04:42:39 GMT 2025","22","","","","","","Обновление категории через API, проверка корректности данных в БД",""
"passed","Mon Jun 23 04:42:40 GMT 2025","Mon Jun 23 04:42:41 GMT 2025","848","","","","","","Сервис niffler-userdata должен забирать сообщение из топика Kafka",""
"passed","Mon Jun 23 04:42:47 GMT 2025","Mon Jun 23 04:42:47 GMT 2025","13","","","","","","Граничные значения для значения суммы",""
"passed","Mon Jun 23 04:42:22 GMT 2025","Mon Jun 23 04:42:23 GMT 2025","888","","","","","","Поиск трат по имени категории",""
"passed","Mon Jun 23 04:42:28 GMT 2025","Mon Jun 23 04:42:29 GMT 2025","773","","","","","","Поиск трат по типу валюты",""
"passed","Mon Jun 23 04:42:27 GMT 2025","Mon Jun 23 04:42:28 GMT 2025","767","","","","","","Поиск трат по типу валюты",""
"passed","Mon Jun 23 04:42:48 GMT 2025","Mon Jun 23 04:42:48 GMT 2025","20","","","","","","Получение информации о существующем пользователе по его username",""
"passed","Mon Jun 23 04:42:26 GMT 2025","Mon Jun 23 04:42:27 GMT 2025","780","","","","","","Поиск трат по типу валюты",""
"broken","Mon Jun 23 04:42:40 GMT 2025","Mon Jun 23 04:42:40 GMT 2025","0","","","","","","Наличие свойства required у полей имя пользователя и пароль",""
"passed","Mon Jun 23 04:42:47 GMT 2025","Mon Jun 23 04:42:47 GMT 2025","248","","","","","","Обновление полного имени и типа валюты у пользователя",""
